,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Voltaje,Es smart,Es 3D,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con Wi-Fi,Modelo,Color,Con USB,Con HDMI,Con HDR,Es curvo,Es portátil,Modelo alfanumérico,Cantidad de puertos USB,Con ethernet,Cantidad de núcleos del procesador,Sistema operativo,Cantidad de puertos HDMI,Con función screen share,Apps integradas,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Duración del producto,Con apagado automático
39,Tv Televisor Convencional Panasonic 21 Pulgadas,VE,None,Televisores,U$S,,70,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-582340026-tv-televisor-convencional-panasonic-21-pulgadas-_JM#position=31&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:38,Panasonic,PanaBlack,120V,,,CRT,"21 """,,,CT-G2159E,Gris,,,,,,CT-G2159E,,,,,,,,,,,,,,,,,,,,,,,
40,Televisor LG 32  (c/base) Para Repuestos Modelo 32lg60ur,VE,None,Televisores,U$S,,5,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-737207675-televisor-lg-32-cbase-para-repuestos-modelo-32lg60ur-_JM#position=33&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Smart Tv 32  PuLG. Para Repuesto. Tarjeta Dañada. Serie 5,VE,None,Televisores,U$S,,60,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-721946637-smart-tv-32-pulg-para-repuesto-tarjeta-danada-serie-5-_JM#position=35&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tv Samsung 46 Pulgadas Smart Tv Con Algunos Detalles Leer,VE,None,Televisores,U$S,,120,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-739027286-tv-samsung-46-pulgadas-smart-tv-con-algunos-detalles-leer-_JM#position=36&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9,22/03/2023 13:20:57,Samsung,TV,,Sí,,,"46 """,,,UN46ES7100F,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,
43,Tv Sony Modelo Kdl-37xbr6 Para Repuesto O Reparar ,VE,None,Televisores,U$S,,55,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-732301427-tv-sony-modelo-kdl-37xbr6-para-repuesto-o-reparar-_JM#position=37&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:21:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tv Aiwa 21 Pulgadas Convencional Crt,VE,None,Televisores,U$S,,60,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-706876722-tv-aiwa-21-pulgadas-convencional-crt-_JM#position=38&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:21:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Televisor Daewoo L32u7500an Para Repuesto,VE,None,Televisores,U$S,,70,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-736781704-televisor-daewoo-l32u7500an-para-repuesto-_JM#position=40&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:21:16,Daewoo,,110V/220V,Sí,No,LED,"32 """,HD,Sí,L32U7500AN,Negro,Sí,Sí,,No,No,L32U7500AN,,,,,,,,,,,,,,,,,,,,,,,
46,Mini Televisor De Periodista A Color.,VE,None,Televisores,U$S,,9,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-560456831-mini-televisor-de-periodista-a-color-_JM#position=41&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:21:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Televisor  21  Philips Usado Para  Repuesto,VE,None,Televisores,U$S,,25,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-564899040-televisor-21-philips-usado-para-repuesto-_JM#position=42&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Televisor Samsung Led 3d 46 Pulgadas Serie 6000 Ultra Plano ,VE,None,Televisores,U$S,,400,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-563280870-televisor-samsung-led-3d-46-pulgadas-serie-6000-ultra-plano-_JM#position=1&search_layout=grid&type=item&tracking_id=6a171704-f4b7-47c8-abf5-0c58f771f,22/03/2023 13:21:35,Samsung,Samsung,,,Sí,,"46 """,Full HD,,Samsung,,Sí,Sí,,,,Samsung,4,,,,,,,,,,,,,,,,,,,,,,
49,Tv Portátil ,VE,None,Televisores,U$S,,10,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-725389787-tv-portatil-_JM#position=2&search_layout=grid&type=item&tracking_id=6a171704-f4b7-47c8-abf5-0c58f771f441,22/03/2023 13:21:41,Sankey,L,V,No,No,CRT,"5 """,WVGA,,M,Negro,No,No,No,No,Sí,Ma,,,,,,,,,,,,,,,,,,,,,,,
