,title,brand,Modelo,avg_price,currency,rating,reviews,scrape_link,scrape_datetime,level_9,0
73,Televisor Samsung 43 Pulgadas Crystal UHD 4K Ultra HD Smart TV UN43BU8000 ,SAMSUNG,UN43BU8000KXZL,1.599.900,$,3.7,76,https://www.falabella.com.co/falabella-co/product/30579197/Televisor-Samsung-43-Pulgadas-Crystal-UHD-4K-Ultra-HD-Smart-TV-UN43BU8000/30579197,27/06/2023 08:53:48,Smart TV,Sí
74,Televisor Samsung 43 Pulgadas Crystal UHD 4K Ultra HD Smart TV UN43BU8000 ,SAMSUNG,UN43BU8000KXZL,1.599.900,$,3.7,76,https://www.falabella.com.co/falabella-co/product/30579197/Televisor-Samsung-43-Pulgadas-Crystal-UHD-4K-Ultra-HD-Smart-TV-UN43BU8000/30579197,27/06/2023 08:53:48,Definition,4K Ultra HD
75,Televisor Samsung 43 Pulgadas Crystal UHD 4K Ultra HD Smart TV UN43BU8000 ,SAMSUNG,UN43BU8000KXZL,1.599.900,$,3.7,76,https://www.falabella.com.co/falabella-co/product/30579197/Televisor-Samsung-43-Pulgadas-Crystal-UHD-4K-Ultra-HD-Smart-TV-UN43BU8000/30579197,27/06/2023 08:53:48,Operating system,Tizen
76,Televisor LG 65UQ8000psb led plano smart ,LG,65UQ8000PSB,2.769.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592773/Televisor-LG-65UQ8000psb-led-plano-smart/119592774,27/06/2023 08:54:05,Screen size,65
77,Televisor LG 65UQ8000psb led plano smart ,LG,65UQ8000PSB,2.769.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592773/Televisor-LG-65UQ8000psb-led-plano-smart/119592774,27/06/2023 08:54:05,Smart TV,Not Found
78,Televisor LG 65UQ8000psb led plano smart ,LG,65UQ8000PSB,2.769.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592773/Televisor-LG-65UQ8000psb-led-plano-smart/119592774,27/06/2023 08:54:05,Definition,Not Found
79,Televisor LG 65UQ8000psb led plano smart ,LG,65UQ8000PSB,2.769.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592773/Televisor-LG-65UQ8000psb-led-plano-smart/119592774,27/06/2023 08:54:05,Operating system,WebOs
80,TELEVISOR CHALLENGER 50 PULGADAS 50LO70 ANDROID T2 4K-UHD LED SMART TV ,CHALLENGER,TV 50LO70 ANDROID T2,1.629.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610712/TELEVISOR-CHALLENGER-50-PULGADAS-50LO70-ANDROID-T2-4K-UHD-LED-SMART-TV/121610713,27/06/2023 08:54:21,Screen size,50
81,TELEVISOR CHALLENGER 50 PULGADAS 50LO70 ANDROID T2 4K-UHD LED SMART TV ,CHALLENGER,TV 50LO70 ANDROID T2,1.629.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610712/TELEVISOR-CHALLENGER-50-PULGADAS-50LO70-ANDROID-T2-4K-UHD-LED-SMART-TV/121610713,27/06/2023 08:54:21,Smart TV,Not Found
82,TELEVISOR CHALLENGER 50 PULGADAS 50LO70 ANDROID T2 4K-UHD LED SMART TV ,CHALLENGER,TV 50LO70 ANDROID T2,1.629.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610712/TELEVISOR-CHALLENGER-50-PULGADAS-50LO70-ANDROID-T2-4K-UHD-LED-SMART-TV/121610713,27/06/2023 08:54:21,Definition,Not Found
83,TELEVISOR CHALLENGER 50 PULGADAS 50LO70 ANDROID T2 4K-UHD LED SMART TV ,CHALLENGER,TV 50LO70 ANDROID T2,1.629.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610712/TELEVISOR-CHALLENGER-50-PULGADAS-50LO70-ANDROID-T2-4K-UHD-LED-SMART-TV/121610713,27/06/2023 08:54:21,Operating system,Android TV
