,open,high,low,close,adjclose,volume,ticker
2020-09-28,3224.97705078125,3238.18310546875,3210.89306640625,3217.534912109375,3217.534912109375,156000,000001.SS
2020-09-29,3231.85498046875,3242.7939453125,3219.7900390625,3224.35888671875,3224.35888671875,151300,000001.SS
2020-09-30,3232.7099609375,3244.9130859375,3202.343994140625,3218.052001953125,3218.052001953125,153500,000001.SS
2020-10-09,3262.611083984375,3280.511962890625,3260.18701171875,3272.075927734375,3272.075927734375,188300,000001.SS
2020-10-12,3287.327880859375,3359.153076171875,3286.111083984375,3358.465087890625,3358.465087890625,259600,000001.SS
2020-10-13,3353.12109375,3361.83203125,3334.4990234375,3359.75,3359.75,204900,000001.SS
2020-10-14,3353.625,3353.625,3332.964111328125,3340.778076171875,3340.778076171875,198700,000001.SS
2020-10-15,3342.922119140625,3354.577880859375,3330.0009765625,3332.18310546875,3332.18310546875,191000,000001.SS
2020-10-16,3334.45703125,3348.9541015625,3319.110107421875,3336.35791015625,3336.35791015625,194300,000001.SS
2020-10-19,3351.10009765625,3371.090087890625,3307.840087890625,3312.669921875,3312.669921875,212300,000001.SS
2020-10-20,3307.14990234375,3328.10009765625,3293.77001953125,3328.10009765625,3328.10009765625,165100,000001.SS
2020-10-21,3332.14990234375,3332.14990234375,3304.169921875,3325.02001953125,3325.02001953125,177600,000001.SS
2020-10-22,3315.820068359375,3320.8798828125,3281.3701171875,3312.5,3312.5,165900,000001.SS
2020-10-23,3308.157958984375,3326.049072265625,3276.6201171875,3277.9970703125,3277.9970703125,174200,000001.SS
2020-10-26,3258.702880859375,3264.446044921875,3226.60205078125,3251.118896484375,3251.118896484375,167700,000001.SS
2020-10-27,3240.739990234375,3258.3369140625,3235.5439453125,3254.31591796875,3254.31591796875,149100,000001.SS
2020-10-28,3256.219970703125,3275.8701171875,3238.3798828125,3269.239990234375,3269.239990234375,173200,000001.SS
2020-10-29,3235.760009765625,3289.77001953125,3231.1201171875,3272.72998046875,3272.72998046875,184700,000001.SS
2020-10-30,3278.631103515625,3279.85595703125,3219.422119140625,3224.532958984375,3224.532958984375,230200,000001.SS
2020-11-02,3228.715087890625,3242.803955078125,3209.908935546875,3225.1201171875,3225.1201171875,226800,000001.SS
2020-11-03,3239.805908203125,3278.381103515625,3237.85400390625,3271.073974609375,3271.073974609375,215300,000001.SS
2020-11-04,3273.43310546875,3286.62109375,3254.111083984375,3277.43994140625,3277.43994140625,188500,000001.SS
2020-11-05,3305.580078125,3320.407958984375,3291.60009765625,3320.133056640625,3320.133056640625,226800,000001.SS
2020-11-06,3326.465087890625,3326.465087890625,3292.15087890625,3312.158935546875,3312.158935546875,234900,000001.SS
2020-11-09,3329.428955078125,3380.823974609375,3329.428955078125,3373.72998046875,3373.72998046875,310200,000001.SS
2020-11-10,3387.6220703125,3387.6220703125,3346.172119140625,3360.14892578125,3360.14892578125,278700,000001.SS
2020-11-11,3354.02490234375,3365.8359375,3339.041015625,3342.202880859375,3342.202880859375,271200,000001.SS
2020-11-12,3344.4599609375,3350.280029296875,3329.489990234375,3338.679931640625,3338.679931640625,216500,000001.SS
2020-11-13,3327.22900390625,3327.22900390625,3291.64306640625,3310.10498046875,3310.10498046875,227900,000001.SS
2020-11-16,3325.62109375,3346.968994140625,3313.64697265625,3346.968994140625,3346.968994140625,279600,000001.SS
2020-11-17,3347.14990234375,3347.699951171875,3323.949951171875,3339.89990234375,3339.89990234375,283600,000001.SS
2020-11-18,3337.33203125,3358.89404296875,3333.991943359375,3347.302978515625,3347.302978515625,287500,000001.SS
2020-11-19,3339.0859375,3367.3330078125,3330.449951171875,3363.087890625,3363.087890625,253300,000001.SS
2020-11-20,3359.60009765625,3380.14990234375,3356.31005859375,3377.72998046875,3377.72998046875,261300,000001.SS
2020-11-23,3384.10009765625,3431.64990234375,3377.989990234375,3414.489990234375,3414.489990234375,373900,000001.SS
2020-11-24,3407.408935546875,3413.926025390625,3396.243896484375,3402.822998046875,3402.822998046875,301000,000001.SS
2020-11-25,3417.514892578125,3423.485107421875,3362.326904296875,3362.326904296875,3362.326904296875,322100,000001.SS
2020-11-26,3360.06103515625,3371.4541015625,3344.281982421875,3369.73291015625,3369.73291015625,255900,000001.SS
2020-11-27,3373.843017578125,3408.306884765625,3364.491943359375,3408.306884765625,3408.306884765625,280600,000001.SS
2020-11-30,3418.159912109375,3456.739990234375,3391.760009765625,3391.760009765625,3391.760009765625,385000,000001.SS
2020-12-01,3388.989990234375,3457.639892578125,3386.909912109375,3451.93994140625,3451.93994140625,316200,000001.SS
2020-12-02,3453.51806640625,3465.72900390625,3435.87109375,3449.381103515625,3449.381103515625,312800,000001.SS
2020-12-03,3448.5400390625,3452.160888671875,3428.803955078125,3442.135986328125,3442.135986328125,298500,000001.SS
