,open,high,low,close,adjclose,volume,ticker
2021-07-14,32535.0,33195.0,31515.0,32740.0,32740.0,3546.0,BTC=F
2021-07-15,32930.0,33180.0,30970.0,31410.0,31410.0,6733.0,BTC=F
2021-07-16,31700.0,32205.0,30960.0,31925.0,31925.0,4090.0,BTC=F
2021-07-19,31760.0,31860.0,30280.0,30690.0,30690.0,3945.0,BTC=F
2021-07-20,30680.0,31015.0,29215.0,29715.0,29715.0,4343.0,BTC=F
2021-07-21,29625.0,32830.0,29435.0,31620.0,31620.0,9993.0,BTC=F
2021-07-22,31920.0,32590.0,31680.0,32415.0,32415.0,3232.0,BTC=F
2021-07-23,32180.0,32930.0,31980.0,32270.0,32270.0,2498.0,BTC=F
2021-07-26,34475.0,40580.0,34420.0,39480.0,39480.0,17245.0,BTC=F
2021-07-27,37090.0,38795.0,36425.0,37890.0,37890.0,7578.0,BTC=F
2021-07-28,38340.0,40940.0,38150.0,40370.0,40370.0,10480.0,BTC=F
2021-07-29,40165.0,40650.0,39290.0,39675.0,39675.0,6100.0,BTC=F
2021-07-30,39640.0,40240.0,38455.0,39020.8984375,39020.8984375,4892.0,BTC=F
2021-08-02,41185.0,41500.0,38715.0,39180.0,39180.0,4781.0,BTC=F
2021-08-03,39180.0,39830.0,37580.0,37965.0,37965.0,5443.0,BTC=F
2021-08-04,38265.0,39945.0,37465.0,39840.0,39840.0,3669.0,BTC=F
2021-08-05,39940.0,41480.0,37300.0,40755.0,40755.0,6706.0,BTC=F
2021-08-06,41095.0,43430.0,39910.0,42970.0,42970.0,6634.0,BTC=F
2021-08-09,44255.0,46520.0,42890.0,46045.0,46045.0,7172.0,BTC=F
2021-08-10,45760.0,46800.0,44650.0,45495.0,45495.0,5332.0,BTC=F
2021-08-11,45755.0,46835.0,45250.0,46455.0,46455.0,3447.0,BTC=F
2021-08-12,46315.0,46315.0,43780.0,44360.0,44360.0,5190.0,BTC=F
2021-08-13,44310.0,48005.0,43830.0,46505.0,46505.0,3796.0,BTC=F
2021-08-16,46905.0,48100.0,45670.0,46095.0,46095.0,4125.0,BTC=F
2021-08-17,46000.0,47205.0,44570.0,45520.0,45520.0,4393.0,BTC=F
2021-08-18,44795.0,46105.0,44155.0,44855.0,44855.0,5149.0,BTC=F
2021-08-19,44530.0,46895.0,43900.0,46700.0,46700.0,6208.0,BTC=F
2021-08-20,46545.0,49185.0,46370.0,48730.0,48730.0,5402.0,BTC=F
2021-08-23,48815.0,50585.0,48640.0,49280.0,49280.0,5956.0,BTC=F
2021-08-24,49520.0,49885.0,47735.0,48210.0,48210.0,5776.0,BTC=F
2021-08-25,48205.0,49135.0,47065.0,48705.0,48705.0,6128.0,BTC=F
2021-08-26,48950.0,49345.0,46230.0,46940.0,46940.0,6139.0,BTC=F
2021-08-27,47205.0,48210.0,46420.0,47952.0,47952.0,5609.0,BTC=F
2021-08-30,49070.0,49510.0,47460.0,48765.0,48765.0,3419.0,BTC=F
2021-08-31,48610.0,48610.0,46695.0,47390.0,47390.0,4056.0,BTC=F
2021-09-01,46940.0,49270.0,46530.0,48320.0,48320.0,4280.0,BTC=F
2021-09-02,48600.0,50570.0,48400.0,49375.0,49375.0,4772.0,BTC=F
2021-09-03,49900.0,51260.0,48445.0,50710.0,50710.0,5123.0,BTC=F
2021-09-07,51755.0,53125.0,43705.0,46780.0,46780.0,13967.0,BTC=F
2021-09-08,46590.0,47440.0,44500.0,46520.0,46520.0,5680.0,BTC=F
2021-09-09,46250.0,47465.0,45545.0,46645.0,46645.0,4052.0,BTC=F
2021-09-10,46545.0,47065.0,44750.0,45675.0,45675.0,4853.0,BTC=F
