,item_channel,program_date,item_name,item_info,program_start_time,program_duration,program_rebroadcast,link
427,Almeria,30 décembre,Cadiz / Almeria ✨,Foot • La Liga sur beIN SPORTS MAX 4,,,,
428,FC Séville,30 décembre,Celta Vigo / FC Séville ✨,Foot • La Liga sur beIN SPORTS 2,,,,
429,Montpellier,30 décembre,Tours / Montpellier ✨,Volley-ball • Ligue A sur beIN SPORTS 3,,,,
430,Canal+ Sport,30 décembre,Avant-Match Top 14,Rugby sur Canal+ Sport,,,,
431,Leicester,30 décembre,Liverpool / Leicester ✨,Foot • Premier League sur Canal + Premier League,,,,
432,Brentford,30 décembre,West Ham / Brentford ✨,Foot • Premier League sur Canal + Multisports 1,,,,
433,Valenciennes,30 décembre,Bastia / Valenciennes ✨,Foot • Ligue 2 sur Amazon,,,,
434,Quevilly Rouen,30 décembre,Guingamp / Quevilly Rouen ✨,Foot • Ligue 2 sur Amazon,,,,
435,Nîmes,30 décembre,Annecy / Nîmes ✨,Foot • Ligue 2 sur Amazon,,,,
436,Amiens,30 décembre,Laval / Amiens ✨,Foot • Ligue 2 sur Amazon,,,,
437,FC Sankt Pauli,30 décembre,Niort / FC Sankt Pauli ✨,Foot • Ligue 2 sur Amazon,,,,
438,Dijon,30 décembre,Rodez / Dijon ✨,Foot • Ligue 2 sur Amazon,,,,
439,FC Metz,30 décembre,Grenoble / FC Metz ✨,Foot • Ligue 2 sur Amazon,,,,
440,Le Havre,30 décembre,Paris FC / Le Havre ✨,Foot • Ligue 2 sur L'Equipe,,,,
441,Montpellier,30 décembre,Bordeaux-Bègles / Montpellier ✨,Rugby • TOP 14 sur Canal+ Sport,,,,
442,Real Madrid,30 décembre,Real Valladolid / Real Madrid 🌟,Foot • La Liga sur beIN SPORTS 1,,,,
443,Notre Dame,30 décembre,South Carolina Gamecocks / Notre Dame,Football américain • NCAA sur beIN SPORTS MAX 7,,,,
444,Notre Dame,30 décembre,South Carolina Gamecocks / Notre Dame ✨,Football américain • NCAA sur beIN SPORTS MAX 9,,,,
445,Benfica Lisbonne,30 décembre,Sporting Braga / Benfica Lisbonne ✨,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
446,Los Angeles Lakers,29 décembre,Miami Heat / Los Angeles Lakers ✨,Basket • NBA sur beIN SPORTS 1,,,,
447,Brooklyn Nets,29 décembre,Atlanta Hawks / Brooklyn Nets ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
448,Eurosport 1,29 décembre,Super G messieurs,Ski • Coupe du monde de ski sur Eurosport 1,,,,
449,Eurosport 1,29 décembre,Silvester Tournament,Saut à ski • Coupe du monde sur Eurosport 1,,,,
450,Eurosport 1,29 décembre,Slalom dames,Ski • Coupe du monde de ski sur Eurosport 1,,,,
451,Galatasaray,29 décembre,Sivasspor / Galatasaray ✨,Foot • Süper Lig de Turquie sur beIN SPORTS 1,,,,
452,Eurosport 1,29 décembre,Tournée des 4 Tremplins,Saut à ski • Coupe du monde sur Eurosport 1,,,,
453,Rayo Vallecano,29 décembre,Girona / Rayo Vallecano ✨,Foot • La Liga sur beIN SPORTS MAX 4,,,,
454,Montpellier,29 décembre,Lorient / Montpellier ✨,Foot • Ligue 1 sur Amazon,,,,
455,L'Equipe,29 décembre,L'Equipe de Greg,Multisports sur L'Equipe,,,,
456,Adana Demirspor,29 décembre,Besiktas / Adana Demirspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 5,,,,
457,Rennes,29 décembre,Reims / Rennes ✨,Foot • Ligue 1 sur Amazon,,,,
458,Athletic Bilbao,29 décembre,Betis Séville / Athletic Bilbao ✨,Foot • La Liga sur beIN SPORTS 2,,,,
459,beIN SPORTS 1,29 décembre,Basket-ball All Star Game LNB 2022,Basket • All-Star Game LNB sur beIN SPORTS 1,,,,
460,Toulouse,29 décembre,Marseille / Toulouse 🌟,Foot • Ligue 1 sur Amazon,,,,
461,Žalgiris Kaunas,29 décembre,Monaco / Žalgiris Kaunas ✨,Basket • Euroligue sur L'Equipe,,,,
462,Lens,29 décembre,Nice / Lens ✨,Foot • Ligue 1 sur Canal+ Foot,,,,
463,Elche,29 décembre,Atlético Madrid / Elche 🌟,Foot • La Liga sur beIN SPORTS 2,,,,
464,Paços de Ferreira,29 décembre,Sporting Club Portugal / Paços de Ferreira ✨,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
465,L'Equipe,29 décembre,L'Equipe du soir,Multisports sur L'Equipe,,,,
466,Los Angeles Clippers,28 décembre,Toronto Raptors / Los Angeles Clippers ✨,Basket • NBA sur beIN SPORTS 1,,,,
467,Phoenix Suns,28 décembre,Memphis Grizzlies / Phoenix Suns ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
468,Eurosport 1,28 décembre,Slalom géant dames,Ski • Coupe du monde de ski sur Eurosport 1,,,,
469,Eurosport 1,28 décembre,Descente messieurs,Ski • Coupe du monde de ski sur Eurosport 1,,,,
470,Equidia,28 décembre,Le live du Quinté+,Hippisme sur Equidia,,,,
471,Eurosport 1,28 décembre,Silvester Tournament,Saut à ski • Coupe du monde sur Eurosport 1,,,,
472,Angers,28 décembre,AC Ajaccio / Angers ✨,Foot • Ligue 1 sur Amazon,,,,
473,Nantes,28 décembre,Troyes / Nantes ✨,Foot • Ligue 1 sur Amazon,,,,
474,Monaco,28 décembre,Auxerre / Monaco ✨,Foot • Ligue 1 sur Amazon,,,,
475,Trabzonspor,28 décembre,Karagümrük / Trabzonspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,,,,
476,Eurosport 1,28 décembre,Mass Start par équipes mixte,Biathlon • World Team Challenge sur Eurosport 1,,,,
477,Lille,28 décembre,Clermont Foot / Lille 🌟,Foot • Ligue 1 sur Amazon,,,,
478,Eurosport 1,28 décembre,Poursuite par équipes mixte,Biathlon • World Team Challenge sur Eurosport 1,,,,
479,Manchester City,28 décembre,Leeds / Manchester City ✨,Foot • Premier League sur Canal + Premier League,,,,
480,Lyon,28 décembre,Brest / Lyon 🌟,Foot • Ligue 1 sur Amazon,,,,
481,Strasbourg,28 décembre,PSG / Strasbourg ⭐,Foot • Ligue 1 sur Canal+ Sport 360,,,,
482,Arouca,28 décembre,FC Porto / Arouca ✨,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
483,L'Equipe,28 décembre,L'Equipe du soir,Multisports sur L'Equipe,,,,
484,Brooklyn Nets,27 décembre,Cleveland Cavaliers / Brooklyn Nets ✨,Basket • NBA sur beIN SPORTS 1,,,,
485,Minnesota Timberwolves,27 décembre,Miami Heat / Minnesota Timberwolves ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
486,Los Angeles Chargers,27 décembre,Indianapolis Colts / Los Angeles Chargers ✨,Football américain • NFL sur beIN SPORTS 2,,,,
487,Hatayspor,27 décembre,Fenerbahçe / Hatayspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,,,,
488,Swansea,27 décembre,Reading / Swansea ✨,Foot • Championship anglais sur beIN SPORTS MAX 5,,,,
489,Bournemouth,27 décembre,Chelsea / Bournemouth ✨,Foot • Premier League sur Canal + Premier League,,,,
490,Birmingham City,27 décembre,Burnley / Birmingham City ✨,Foot • Championship anglais sur beIN SPORTS MAX 4,,,,
491,Nottingham Forest,27 décembre,Manchester United / Nottingham Forest ✨,Foot • Premier League sur Canal + Premier League,,,,
492,L'Equipe,27 décembre,Le grand bêtisier du sport,Multisports sur L'Equipe,,,,
493,beIN SPORTS 1,26 décembre,NBA Christmas Day,Basket-ball sur beIN SPORTS 1,,,,
494,Memphis Grizzlies,26 décembre,Golden State Warriors / Memphis Grizzlies ✨,Basket • NBA sur beIN SPORTS 1,,,,
495,Tampa Bay Buccaneers,26 décembre,Arizona Cardinals / Tampa Bay Buccaneers ✨,Football américain • NFL sur beIN SPORTS 2,,,,
496,beIN SPORTS MAX 6,26 décembre,Diamond Head Classic Championship,Basket • NCAA sur beIN SPORTS MAX 6,,,,
497,beIN SPORTS MAX 5,26 décembre,Basket-ball NBA 2022/2023,Basket • NBA sur beIN SPORTS MAX 5,,,,
498,L'Equipe,26 décembre,Cyclo-cross Coupe du monde 2022/2023,Cyclo-cross • Coupe du monde sur L'Equipe,,,,
499,Blackburn Rovers,26 décembre,Sunderland / Blackburn Rovers ✨,Foot • Championship anglais sur beIN SPORTS MAX 4,,,,
500,Tottenham,26 décembre,Brentford / Tottenham,Foot • Premier League sur Canal + Premier League,,,,
501,Equidia,26 décembre,Le live du Quinté+,Hippisme sur Equidia,,,,
502,Coventry,26 décembre,Sheffield United / Coventry ✨,Foot • Championship anglais sur beIN SPORTS MAX 4,,,,
503,Newcastle,26 décembre,Leicester / Newcastle,Foot • Premier League sur Canal + Premier League,,,,
504,Brighton & Hove Albion,26 décembre,Southampton / Brighton & Hove Albion,Foot • Premier League sur Canal + Multisports 1,,,,
505,Wolverhampton,26 décembre,Everton / Wolverhampton,Foot • Premier League sur Canal + Multisports 2,,,,
506,Fulham,26 décembre,Crystal Palace / Fulham,Foot • Premier League sur Canal+ Sport 360,,,,
507,beIN SPORTS 1,26 décembre,Football : avant-match Ligue 2,Football sur beIN SPORTS 1,,,,
508,Saint-Etienne,26 décembre,Annecy / Saint-Etienne 🌟,Foot • Ligue 2 sur beIN SPORTS 1,,,,
509,Queens Park Rangers,26 décembre,Cardiff / Queens Park Rangers ✨,Foot • Championship anglais sur beIN SPORTS MAX 4,,,,
510,Liverpool,26 décembre,Aston Villa / Liverpool ✨,Foot • Premier League sur Canal + Premier League,,,,
511,Bordeaux,26 décembre,Le Havre / Bordeaux ✨,Foot • Ligue 2 sur beIN SPORTS 1,,,,
512,Paris FC,26 décembre,FC Sankt Pauli / Paris FC ✨,Foot • Ligue 2 sur Amazon,,,,
513,beIN SPORTS 2,26 décembre,Basket-ball Betclic Elite 2022/2023,Basket • Pro A - Betclic Elite sur beIN SPORTS 2,,,,
514,Norwich City,26 décembre,Luton Town / Norwich City ✨,Foot • Championship anglais sur beIN SPORTS MAX 4,,,,
515,West Ham,26 décembre,Arsenal / West Ham ✨,Foot • Premier League sur Canal + Premier League,,,,
516,Caen,26 décembre,Bastia / Caen ✨,Foot • Ligue 2 sur Amazon,,,,
517,Amiens,26 décembre,Valenciennes / Amiens ✨,Foot • Ligue 2 sur Amazon,,,,
518,Niort,26 décembre,FC Metz / Niort ✨,Foot • Ligue 2 sur Amazon,,,,
519,Rodez,26 décembre,Sochaux / Rodez ✨,Foot • Ligue 2 sur Amazon,,,,
520,Guingamp,26 décembre,Nîmes / Guingamp ✨,Foot • Ligue 2 sur Amazon,,,,
521,Laval,26 décembre,Dijon / Laval ✨,Foot • Ligue 2 sur Amazon,,,,
522,Grenoble,26 décembre,Quevilly Rouen / Grenoble ✨,Foot • Ligue 2 sur Amazon,,,,
523,Rodez,26 décembre,Sochaux / Rodez ✨,Foot • Ligue 2 sur L'Equipe,,,,
524,Besiktas,25 décembre,Gaziantep / Besiktas ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,,,,
525,Istanbulspor,25 décembre,Galatasaray / Istanbulspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,,,,
526,Philadelphia 76ers,25 décembre,New York Knicks / Philadelphia 76ers ✨,Basket • NBA sur beIN SPORTS 1,,,,
527,Green Bay Packers,25 décembre,Miami Dolphins / Green Bay Packers ✨,Football américain • NFL sur L'Equipe,,,,
528,Los Angeles Lakers,25 décembre,Dallas Mavericks / Los Angeles Lakers ✨,Basket • NBA sur beIN SPORTS 1,,,,
529,beIN SPORTS MAX 4,25 décembre,Football américain NFL 2022/2023,Football américain • NFL sur beIN SPORTS MAX 4,,,,
530,Milwaukee Bucks,25 décembre,Boston Celtics / Milwaukee Bucks ✨,Basket • NBA sur beIN SPORTS 1,,,,
531,Los Angeles Clippers,24 décembre,Philadelphia 76ers / Los Angeles Clippers ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
532,Milwaukee Bucks,24 décembre,Brooklyn Nets / Milwaukee Bucks ✨,Basket • NBA sur beIN SPORTS 1,,,,
533,Charlotte Hornets,24 décembre,Los Angeles Lakers / Charlotte Hornets ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
534,Stade Français,24 décembre,Racing 92 / Stade Français ✨,Rugby • TOP 14 sur Canal+,,,,
535,Fenerbahçe,24 décembre,Trabzonspor / Fenerbahçe ✨,Foot • Süper Lig de Turquie sur beIN SPORTS 1,,,,
536,Jacksonville Jaguars,23 décembre,New York Jets / Jacksonville Jaguars ✨,Football américain • NFL sur beIN SPORTS 2,,,,
537,San Antonio Spurs,23 décembre,New Orleans Pelicans / San Antonio Spurs ✨,Basket • NBA sur beIN SPORTS 1,,,,
538,Washington Wizards,23 décembre,Utah Jazz / Washington Wizards ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
539,Istanbul Basaksehir,23 décembre,Ümraniyespor / Istanbul Basaksehir ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,,,,
540,Canal+,23 décembre,Avant-Match Top 14,Rugby sur Canal+,,,,
541,Bordeaux-Bègles,23 décembre,La Rochelle / Bordeaux-Bègles ✨,Rugby • TOP 14 sur Canal+ Sport,,,,
542,Clermont-Auvergne,23 décembre,Brive / Clermont-Auvergne ✨,Rugby • TOP 14 sur Canal + Multisports 1,,,,
543,Perpignan,23 décembre,Montpellier / Perpignan ✨,Rugby • TOP 14 sur Canal + Multisports 2,,,,
544,Bayonne,23 décembre,Pau / Bayonne ✨,Rugby • TOP 14 sur Canal + Multisports 3,,,,
545,Amiens,23 décembre,Grenoble / Amiens,Hockey sur glace • Ligue Magnus sur Sport en France,,,,
546,Canal+,23 décembre,Avant-Match Top 14,Rugby sur Canal+,,,,
547,Castres,23 décembre,Toulouse / Castres ✨,Rugby • TOP 14 sur Canal+,,,,
548,Michigan,22 décembre,North Carolina / Michigan ✨,Basket • NCAA sur beIN SPORTS MAX 5,,,,
549,Milwaukee Bucks,22 décembre,Cleveland Cavaliers / Milwaukee Bucks ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
550,Golden State Warriors,22 décembre,Brooklyn Nets / Golden State Warriors ✨,Basket • NBA sur beIN SPORTS 1,,,,
551,Los Angeles Lakers,22 décembre,Sacramento Kings / Los Angeles Lakers ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
552,Eurosport 1,22 décembre,Ski Cross dames et messieurs,Ski freestyle • Coupe du monde sur Eurosport 1,,,,
553,Eurosport 2,22 décembre,Judo Masters 2022,Judo • Masters 2022 sur Eurosport 2,,,,
554,Eurosport 1,22 décembre,Slalom messieurs,Ski • Coupe du monde de ski sur Eurosport 1,,,,
555,Lyon,22 décembre,Toulon / Lyon ✨,Rugby • TOP 14 sur C8,,,,
556,Canal+ Sport,22 décembre,Avant-Match Top 14,Rugby sur Canal+ Sport,,,,
557,Asvel,22 décembre,Real Madrid / Asvel ✨,Basket • Euroligue sur L'Equipe,,,,
558,Liverpool,22 décembre,Manchester City / Liverpool ⭐,Foot • Coupe de la Ligue anglaise sur beIN SPORTS 1,,,,
559,Golden State Warriors,21 décembre,New York Knicks / Golden State Warriors ✨,Basket • NBA sur beIN SPORTS 1,,,,
560,Washington Wizards,21 décembre,Phoenix Suns / Washington Wizards ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,
561,Sport en France,21 décembre,CN Marseille - Spandau,Water-polo • Ligue des champions sur Sport en France,,,,
562,Paris Saint-Germain,21 décembre,Nantes / Paris Saint-Germain ✨,Handball • Starligue sur beIN SPORTS 1,,,,
563,Nottingham Forest,21 décembre,Blackburn Rovers / Nottingham Forest ✨,Foot • Coupe de la Ligue anglaise sur beIN SPORTS MAX 4,,,,
564,Burnley,21 décembre,Manchester United / Burnley 🌟,Foot • Coupe de la Ligue anglaise sur beIN SPORTS 2,,,,
565,beIN SPORTS MAX 4,20 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,,,,
566,Liverpool,20 janvier    ,Wolverhampton / Liverpool,Foot • FA Cup sur beIN SPORTS 2,,,,
567,PSG,20 janvier    ,Riyadh Season Team / PSG,Foot • Match amical sur beIN SPORTS 1,,,,
568,RMC Sport 2,20 janvier    ,Boxe : Rétro 2022,Boxe sur RMC Sport 2,,,,
569,Canal + Top 14,20 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,,,,
570,Canal + Premier League,20 janvier    ,La Premier League sur Canal+,Football sur Canal + Premier League,,,,
571,Canal + Multisports,20 janvier    ,"Vos programmes Foot, Golf et Rugby",Multisports sur Canal + Multisports,,,,
572,Canal + Multisports 1,20 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,
573,Famalicao,20 janvier    ,FC Porto / Famalicao,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
574,ES1,20 janvier    ,Pro Players by Brak,e-sport sur ES1,,,,
575,L'Equipe,20 janvier    ,L'Equipe du soir,Multisports sur L'Equipe,,,,
576,Eurosport 2,20 janvier    ,Tennis Open d'Australie 2023,Tennis • Open d'Australie sur Eurosport 2,,,,
577,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
578,Canal+ Sport,20 janvier    ,Late Sport 360,Multisports sur Canal+ Sport,,,,
579,L'Equipe,20 janvier    ,L'Equipe du soir,Multisports sur L'Equipe,,,,
580,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
581,Cardiff,20 janvier    ,Leeds / Cardiff,Foot • FA Cup sur beIN SPORTS 2,,,,
582,beIN SPORTS 1,20 janvier    ,Salon VIP,Multisports sur beIN SPORTS 1,,,,
583,Toulouse,20 janvier    ,Sale Sharks / Toulouse,Rugby • Champions Cup sur beIN SPORTS 3,,,,
584,ES1,20 janvier    ,Le MAG GG,e-sport sur ES1,,,,
585,Canal+ Foot,20 janvier    ,Jour de foot,Football sur Canal+ Foot,,,,
586,Sporting Club Portugal,20 janvier    ,Benfica Lisbonne / Sporting Club Portugal,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
587,ES1,20 janvier    ,Pro Players by Brak,e-sport sur ES1,,,,
588,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
589,Canal+ Sport,20 janvier    ,Golf Championnat d'Abu Dhabi 2023,Golf • Championnat d'Abu Dhabi 2023 sur Canal+ Sport,,,,
590,Eurosport 1,20 janvier    ,Eurosport Tennis Club,Tennis sur Eurosport 1,,,,
591,Tottenham,20 janvier    ,Manchester City / Tottenham,Foot • Premier League sur Canal+ Foot,,,,
592,Canal+ Sport 360,20 janvier    ,Sail GP : Racing on the Edge,Voile sur Canal+ Sport 360,,,,
593,ES1,20 janvier    ,Pro Players by Brak,e-sport sur ES1,,,,
594,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
595,beIN SPORTS 1,20 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 1,,,,
596,RMC Sport 2,20 janvier    ,Boxe : Rétro 2022,Boxe sur RMC Sport 2,,,,
597,beIN SPORTS MAX 4,20 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,,,,
598,Canal + Premier League,20 janvier    ,La Premier League sur Canal+,Football sur Canal + Premier League,,,,
599,Canal + Multisports 1,20 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,
600,Canal+ Sport 360,20 janvier    ,"Rallye WRC, Rallye de Monte-Carlo 2023",Rallye • Rallye de Monte-Carlo WRC sur Canal+ Sport 360,,,,
601,beIN SPORTS 1,20 janvier    ,Basket-ball NBA 2022/2023,Basket • NBA sur beIN SPORTS 1,,,,
602,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
603,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
604,PSG,20 janvier    ,Riyadh Season Team / PSG,Foot • Match amical sur beIN SPORTS 2,,,,
605,Eurosport 2,20 janvier    ,Ski Epreuve de Cortina d'Ampezzo 2022/2023,Ski • Epreuve de Cortina d'Ampezzo 2022/2023 sur Eurosport 2,,,,
606,beIN SPORTS 3,20 janvier    ,Court Central,Tennis sur beIN SPORTS 3,,,,
607,Kevin Lerena,20 janvier    ,Daniel Dubois / Kevin Lerena,Boxe • Championnat du monde sur RMC Sport 1,,,,
608,Canal + Top 14,20 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,,,,
609,ES1,20 janvier    ,EVO : KOF,e-sport sur ES1,,,,
610,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
611,RMC Sport 2,20 janvier    ,Pépite RMC Sport,Multisports sur RMC Sport 2,,,,
612,Canal+ Foot,20 janvier    ,Football Premier League 2022/2023,Foot • Premier League sur Canal+ Foot,,,,
613,Bilel Jkitou,20 janvier    ,David Papot / Bilel Jkitou,Boxe • Championnat du monde sur RMC Sport 2,,,,
614,Equidia,20 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,
615,Chicago Bulls,20 janvier    ,Detroit Pistons / Chicago Bulls,Basket • NBA sur beIN SPORTS 1,,,,
616,beIN SPORTS 3,20 janvier    ,The Wimbledon's Crown,Tennis sur beIN SPORTS 3,,,,
617,Alexander Vaughn,20 janvier    ,Christian Mbilli / Alexander Vaughn,Boxe • Réunion de Nantes sur RMC Sport 1,,,,
618,ES1,20 janvier    ,EVO : KOF,e-sport sur ES1,,,,
619,Eurosport 2,20 janvier    ,Ski Epreuve de Kitzbühel 2022/2023,Ski • Epreuve de Kitzbühel 2022/2023 sur Eurosport 2,,,,
620,beIN SPORTS 3,20 janvier    ,Tour principal,Handball • Championnat du monde masculin 2023 sur beIN SPORTS 3,,,,
621,Hellas Vérone,20 janvier    ,Inter Milan / Hellas Vérone,Foot • Serie A sur beIN SPORTS 2,,,,
622,RMC Sport 1,20 janvier    ,Pépite RMC Sport,Multisports sur RMC Sport 1,,,,
623,Canal + Premier League,20 janvier    ,La Premier League sur Canal+,Football sur Canal + Premier League,,,,
624,Canal + Multisports 1,20 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,
625,RMC Découverte,20 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,,,,
626,Canal+ Sport 360,20 janvier    ,Late Sport 360,Multisports sur Canal+ Sport 360,,,,
627,Canal+ Foot,20 janvier    ,The Week-end : 30 ans de Premier League,Football sur Canal+ Foot,,,,
628,Famalicao,20 janvier    ,FC Porto / Famalicao,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,
629,Eurosport 2,20 janvier    ,Ski Epreuve de Cortina d'Ampezzo 2022/2023,Ski • Epreuve de Cortina d'Ampezzo 2022/2023 sur Eurosport 2,,,,
630,beIN SPORTS MAX 4,20 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,,,,
631,RMC Découverte,20 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,,,,
