,Country Code,brand,Model#,title,number_of_offers,average_price,currency,Date added,category,scrape_date,scrape_link,Specification,Specification Value
58,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Shipping weight,40.00 Kg
59,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,price,132.12
60,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,Display Resolution,Ultra HD (4K)
61,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,Screen Size,65 Inch
62,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,Special Features,"Without 3D,Smart TV"
63,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,Display Technology,LED
64,KU,Star-X,65UH680V,Star-X 65-Inch 4K UHD Smart LED TV With Digital Netflix And Youtube Smart - Black 65UH680V,1,132.12,KWD,Mar-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-65-inch-4k-uhd-smart-led-tv-with-digital-netflix-and-youtube-smart-black-65uh680v-price-in-kuwait-6391622?ref=quicklinks,Color,Black
65,KU,Star-X,32LN680V,Star-X 32-Inch HD LED Smart Android Tv - Black 32LN680V,1,34.42,KWD,Oct-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-32-inch-hd-led-smart-android-tv-black-32ln680v-price-in-kuwait-6799088?ref=quicklinks,price,34.42
66,KU,Star-X,32LN680V,Star-X 32-Inch HD LED Smart Android Tv - Black 32LN680V,1,34.42,KWD,Oct-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-32-inch-hd-led-smart-android-tv-black-32ln680v-price-in-kuwait-6799088?ref=quicklinks,Screen Size,32 Inch
67,KU,Star-X,32LN680V,Star-X 32-Inch HD LED Smart Android Tv - Black 32LN680V,1,34.42,KWD,Oct-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-32-inch-hd-led-smart-android-tv-black-32ln680v-price-in-kuwait-6799088?ref=quicklinks,Special Features,"Without 3D,Smart TV"
68,KU,Star-X,32LN680V,Star-X 32-Inch HD LED Smart Android Tv - Black 32LN680V,1,34.42,KWD,Oct-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-32-inch-hd-led-smart-android-tv-black-32ln680v-price-in-kuwait-6799088?ref=quicklinks,Display Technology,LED
69,KU,Star-X,32LN680V,Star-X 32-Inch HD LED Smart Android Tv - Black 32LN680V,1,34.42,KWD,Oct-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-32-inch-hd-led-smart-android-tv-black-32ln680v-price-in-kuwait-6799088?ref=quicklinks,Color,Black
70,KU,Samsung,UA55TU8000,Samsung 55 Inch 138 Cm 4K Smart Crystal Ultra HD LED UA55TU8000,1,210.3,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-55-inch-138-cm-4k-smart-crystal-ultra-hd-led-ua55tu8000-price-in-kuwait-6650049?ref=quicklinks,price,210.3
71,KU,Samsung,UA55TU8000,Samsung 55 Inch 138 Cm 4K Smart Crystal Ultra HD LED UA55TU8000,1,210.3,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-55-inch-138-cm-4k-smart-crystal-ultra-hd-led-ua55tu8000-price-in-kuwait-6650049?ref=quicklinks,Display Resolution,Ultra HD (4K)
72,KU,Samsung,UA55TU8000,Samsung 55 Inch 138 Cm 4K Smart Crystal Ultra HD LED UA55TU8000,1,210.3,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-55-inch-138-cm-4k-smart-crystal-ultra-hd-led-ua55tu8000-price-in-kuwait-6650049?ref=quicklinks,Screen Size,55 Inch
73,KU,Samsung,UA55TU8000,Samsung 55 Inch 138 Cm 4K Smart Crystal Ultra HD LED UA55TU8000,1,210.3,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-55-inch-138-cm-4k-smart-crystal-ultra-hd-led-ua55tu8000-price-in-kuwait-6650049?ref=quicklinks,Special Features,"Without 3D,Smart TV"
74,KU,Samsung,UA55TU8000,Samsung 55 Inch 138 Cm 4K Smart Crystal Ultra HD LED UA55TU8000,1,210.3,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-55-inch-138-cm-4k-smart-crystal-ultra-hd-led-ua55tu8000-price-in-kuwait-6650049?ref=quicklinks,Display Technology,LED
75,KU,Lg,70UN7380,LG 70UN7380 70 inch UHD Smart TV-2020 70UN7380,1,294.46,KWD,Jul-21,Television,22/09/2022 09:35,https://kw.pricena.com/en/product/lg-70un7380-70-inch-uhd-smart-tv-2020-70un7380-price-in-kuwait-6650897?ref=quicklinks,price,294.46
76,KU,Lg,70UN7380,LG 70UN7380 70 inch UHD Smart TV-2020 70UN7380,1,294.46,KWD,Jul-21,Television,22/09/2022 09:35,https://kw.pricena.com/en/product/lg-70un7380-70-inch-uhd-smart-tv-2020-70un7380-price-in-kuwait-6650897?ref=quicklinks,Display Resolution,Ultra HD (4K)
